prompt_id,split,split_rule
P001873,train,prompt_disjoint_v1
P004516,train,prompt_disjoint_v1
P005413,train,prompt_disjoint_v1
P004396,train,prompt_disjoint_v1
P003259,train,prompt_disjoint_v1
P003130,train,prompt_disjoint_v1
P005097,train,prompt_disjoint_v1
P005910,train,prompt_disjoint_v1
P005627,train,prompt_disjoint_v1
P005146,train,prompt_disjoint_v1
P004818,train,prompt_disjoint_v1
P007084,train,prompt_disjoint_v1
P004598,train,prompt_disjoint_v1
P000871,train,prompt_disjoint_v1
P007132,train,prompt_disjoint_v1
P004966,train,prompt_disjoint_v1
P001059,train,prompt_disjoint_v1
P003744,train,prompt_disjoint_v1
P006983,train,prompt_disjoint_v1
P001082,train,prompt_disjoint_v1
P005615,train,prompt_disjoint_v1
P003225,train,prompt_disjoint_v1
P000357,train,prompt_disjoint_v1
P003238,train,prompt_disjoint_v1
P004650,train,prompt_disjoint_v1
P002848,train,prompt_disjoint_v1
P004984,train,prompt_disjoint_v1
P000922,train,prompt_disjoint_v1
P002402,train,prompt_disjoint_v1
P001094,train,prompt_disjoint_v1
P005309,train,prompt_disjoint_v1
P001430,train,prompt_disjoint_v1
P006692,train,prompt_disjoint_v1
P004431,train,prompt_disjoint_v1
P006117,train,prompt_disjoint_v1
P004813,train,prompt_disjoint_v1
P003521,train,prompt_disjoint_v1
P005430,train,prompt_disjoint_v1
P000444,train,prompt_disjoint_v1
P004611,train,prompt_disjoint_v1
P002334,train,prompt_disjoint_v1
P004977,train,prompt_disjoint_v1
P000793,train,prompt_disjoint_v1
P000085,train,prompt_disjoint_v1
P002606,train,prompt_disjoint_v1
P007101,train,prompt_disjoint_v1
P000951,train,prompt_disjoint_v1
P004928,train,prompt_disjoint_v1
P000537,train,prompt_disjoint_v1
P002301,train,prompt_disjoint_v1
P005418,train,prompt_disjoint_v1
P004102,train,prompt_disjoint_v1
P001612,train,prompt_disjoint_v1
P005028,train,prompt_disjoint_v1
P002975,train,prompt_disjoint_v1
P002289,train,prompt_disjoint_v1
P006985,train,prompt_disjoint_v1
P007031,train,prompt_disjoint_v1
P002199,train,prompt_disjoint_v1
P005066,train,prompt_disjoint_v1
P006401,train,prompt_disjoint_v1
P001756,train,prompt_disjoint_v1
P005222,train,prompt_disjoint_v1
P004950,train,prompt_disjoint_v1
P001686,train,prompt_disjoint_v1
P002162,train,prompt_disjoint_v1
P004344,train,prompt_disjoint_v1
P004496,train,prompt_disjoint_v1
P003079,train,prompt_disjoint_v1
P003027,train,prompt_disjoint_v1
P000673,train,prompt_disjoint_v1
P000675,train,prompt_disjoint_v1
P000199,train,prompt_disjoint_v1
P002374,train,prompt_disjoint_v1
P003290,train,prompt_disjoint_v1
P005571,train,prompt_disjoint_v1
P006934,train,prompt_disjoint_v1
P000802,train,prompt_disjoint_v1
P002890,train,prompt_disjoint_v1
P006459,train,prompt_disjoint_v1
P006619,train,prompt_disjoint_v1
P004715,train,prompt_disjoint_v1
P007190,train,prompt_disjoint_v1
P003051,train,prompt_disjoint_v1
P002310,train,prompt_disjoint_v1
P005121,train,prompt_disjoint_v1
P002322,train,prompt_disjoint_v1
P005443,train,prompt_disjoint_v1
P002876,train,prompt_disjoint_v1
P006359,train,prompt_disjoint_v1
P003794,train,prompt_disjoint_v1
P000755,train,prompt_disjoint_v1
P004339,train,prompt_disjoint_v1
P004580,train,prompt_disjoint_v1
P004771,train,prompt_disjoint_v1
P002519,train,prompt_disjoint_v1
P002253,train,prompt_disjoint_v1
P006461,train,prompt_disjoint_v1
P004897,train,prompt_disjoint_v1
P000061,train,prompt_disjoint_v1
P001899,train,prompt_disjoint_v1
P000281,train,prompt_disjoint_v1
P000118,train,prompt_disjoint_v1
P004046,train,prompt_disjoint_v1
P002818,train,prompt_disjoint_v1
P004742,train,prompt_disjoint_v1
P001818,train,prompt_disjoint_v1
P001753,train,prompt_disjoint_v1
P000834,train,prompt_disjoint_v1
P000462,train,prompt_disjoint_v1
P005620,train,prompt_disjoint_v1
P005597,train,prompt_disjoint_v1
P002865,train,prompt_disjoint_v1
P003276,train,prompt_disjoint_v1
P007122,train,prompt_disjoint_v1
P002545,train,prompt_disjoint_v1
P002410,train,prompt_disjoint_v1
P005104,train,prompt_disjoint_v1
P005848,train,prompt_disjoint_v1
P004556,train,prompt_disjoint_v1
P004972,train,prompt_disjoint_v1
P001531,train,prompt_disjoint_v1
P003153,train,prompt_disjoint_v1
P004985,train,prompt_disjoint_v1
P000387,train,prompt_disjoint_v1
P004689,train,prompt_disjoint_v1
P002480,train,prompt_disjoint_v1
P005941,train,prompt_disjoint_v1
P006491,train,prompt_disjoint_v1
P002423,train,prompt_disjoint_v1
P006615,train,prompt_disjoint_v1
P007168,train,prompt_disjoint_v1
P004892,train,prompt_disjoint_v1
P001549,train,prompt_disjoint_v1
P004309,train,prompt_disjoint_v1
P001867,train,prompt_disjoint_v1
P006837,train,prompt_disjoint_v1
P002336,train,prompt_disjoint_v1
P004212,train,prompt_disjoint_v1
P000027,train,prompt_disjoint_v1
P002956,train,prompt_disjoint_v1
P000669,train,prompt_disjoint_v1
P003620,train,prompt_disjoint_v1
P005013,train,prompt_disjoint_v1
P001129,train,prompt_disjoint_v1
P003427,train,prompt_disjoint_v1
P002489,train,prompt_disjoint_v1
P003826,train,prompt_disjoint_v1
P004005,train,prompt_disjoint_v1
P000448,train,prompt_disjoint_v1
P006278,train,prompt_disjoint_v1
P004820,train,prompt_disjoint_v1
P005629,train,prompt_disjoint_v1
P003776,train,prompt_disjoint_v1
P004486,train,prompt_disjoint_v1
P000289,train,prompt_disjoint_v1
P003193,train,prompt_disjoint_v1
P001581,train,prompt_disjoint_v1
P000929,train,prompt_disjoint_v1
P000610,train,prompt_disjoint_v1
P006030,train,prompt_disjoint_v1
P006555,train,prompt_disjoint_v1
P001253,train,prompt_disjoint_v1
P004100,train,prompt_disjoint_v1
P002928,train,prompt_disjoint_v1
P003204,train,prompt_disjoint_v1
P007141,train,prompt_disjoint_v1
P005942,train,prompt_disjoint_v1
P002717,train,prompt_disjoint_v1
P005838,train,prompt_disjoint_v1
P000659,train,prompt_disjoint_v1
P001706,train,prompt_disjoint_v1
P005018,train,prompt_disjoint_v1
P002225,train,prompt_disjoint_v1
P000710,train,prompt_disjoint_v1
P006996,train,prompt_disjoint_v1
P003550,train,prompt_disjoint_v1
P006627,train,prompt_disjoint_v1
P001995,train,prompt_disjoint_v1
P004959,train,prompt_disjoint_v1
P001719,train,prompt_disjoint_v1
P001049,train,prompt_disjoint_v1
P000709,train,prompt_disjoint_v1
P006917,train,prompt_disjoint_v1
P005275,train,prompt_disjoint_v1
P004912,train,prompt_disjoint_v1
P003604,train,prompt_disjoint_v1
P006452,train,prompt_disjoint_v1
P001446,train,prompt_disjoint_v1
P005595,train,prompt_disjoint_v1
P000822,train,prompt_disjoint_v1
P005839,train,prompt_disjoint_v1
P002227,train,prompt_disjoint_v1
P001406,train,prompt_disjoint_v1
P002174,train,prompt_disjoint_v1
P002680,train,prompt_disjoint_v1
P002568,train,prompt_disjoint_v1
P006177,train,prompt_disjoint_v1
P006933,train,prompt_disjoint_v1
P003846,train,prompt_disjoint_v1
P003203,train,prompt_disjoint_v1
P003778,train,prompt_disjoint_v1
P000697,train,prompt_disjoint_v1
P001128,train,prompt_disjoint_v1
P000905,train,prompt_disjoint_v1
P000946,train,prompt_disjoint_v1
P003576,train,prompt_disjoint_v1
P006165,train,prompt_disjoint_v1
P005964,train,prompt_disjoint_v1
P005220,train,prompt_disjoint_v1
P003963,train,prompt_disjoint_v1
P007081,train,prompt_disjoint_v1
P000604,train,prompt_disjoint_v1
P003508,train,prompt_disjoint_v1
P001651,train,prompt_disjoint_v1
P003295,train,prompt_disjoint_v1
P003958,train,prompt_disjoint_v1
P002787,train,prompt_disjoint_v1
P000719,train,prompt_disjoint_v1
P005078,train,prompt_disjoint_v1
P006649,train,prompt_disjoint_v1
P000261,train,prompt_disjoint_v1
P000903,train,prompt_disjoint_v1
P005376,train,prompt_disjoint_v1
P005071,train,prompt_disjoint_v1
P004480,train,prompt_disjoint_v1
P003444,train,prompt_disjoint_v1
P006348,train,prompt_disjoint_v1
P003464,train,prompt_disjoint_v1
P000189,train,prompt_disjoint_v1
P004864,train,prompt_disjoint_v1
P006456,train,prompt_disjoint_v1
P001973,train,prompt_disjoint_v1
P002443,train,prompt_disjoint_v1
P000558,train,prompt_disjoint_v1
P006465,train,prompt_disjoint_v1
P006437,train,prompt_disjoint_v1
P000827,train,prompt_disjoint_v1
P000104,train,prompt_disjoint_v1
P006743,train,prompt_disjoint_v1
P001077,train,prompt_disjoint_v1
P003597,train,prompt_disjoint_v1
P005416,train,prompt_disjoint_v1
P001588,train,prompt_disjoint_v1
P004746,train,prompt_disjoint_v1
P001893,train,prompt_disjoint_v1
P002117,train,prompt_disjoint_v1
P005234,train,prompt_disjoint_v1
P005245,train,prompt_disjoint_v1
P001080,train,prompt_disjoint_v1
P005209,train,prompt_disjoint_v1
P002115,train,prompt_disjoint_v1
P003475,train,prompt_disjoint_v1
P004413,train,prompt_disjoint_v1
P007090,train,prompt_disjoint_v1
P002833,train,prompt_disjoint_v1
P002031,train,prompt_disjoint_v1
P005341,train,prompt_disjoint_v1
P005593,train,prompt_disjoint_v1
P003035,train,prompt_disjoint_v1
P000132,train,prompt_disjoint_v1
P000305,train,prompt_disjoint_v1
P001048,train,prompt_disjoint_v1
P001839,train,prompt_disjoint_v1
P003602,train,prompt_disjoint_v1
P004829,train,prompt_disjoint_v1
P003702,train,prompt_disjoint_v1
P002335,train,prompt_disjoint_v1
P006305,train,prompt_disjoint_v1
P002347,train,prompt_disjoint_v1
P005228,train,prompt_disjoint_v1
P005349,train,prompt_disjoint_v1
P005826,train,prompt_disjoint_v1
P006259,train,prompt_disjoint_v1
P005541,train,prompt_disjoint_v1
P002457,train,prompt_disjoint_v1
P000593,train,prompt_disjoint_v1
P004745,train,prompt_disjoint_v1
P000183,train,prompt_disjoint_v1
P001219,train,prompt_disjoint_v1
P002367,train,prompt_disjoint_v1
P002032,train,prompt_disjoint_v1
P002139,train,prompt_disjoint_v1
P003909,train,prompt_disjoint_v1
P006091,train,prompt_disjoint_v1
P006835,train,prompt_disjoint_v1
P004053,train,prompt_disjoint_v1
P002138,train,prompt_disjoint_v1
P006242,train,prompt_disjoint_v1
P000047,train,prompt_disjoint_v1
P001782,train,prompt_disjoint_v1
P006798,train,prompt_disjoint_v1
P006561,train,prompt_disjoint_v1
P000927,train,prompt_disjoint_v1
P005393,train,prompt_disjoint_v1
P003756,train,prompt_disjoint_v1
P001099,train,prompt_disjoint_v1
P002409,train,prompt_disjoint_v1
P005843,train,prompt_disjoint_v1
P002930,train,prompt_disjoint_v1
P000829,train,prompt_disjoint_v1
P004057,train,prompt_disjoint_v1
P002043,train,prompt_disjoint_v1
P004332,train,prompt_disjoint_v1
P002584,train,prompt_disjoint_v1
P003967,train,prompt_disjoint_v1
P002233,train,prompt_disjoint_v1
P007069,train,prompt_disjoint_v1
P001887,train,prompt_disjoint_v1
P003945,train,prompt_disjoint_v1
P001953,train,prompt_disjoint_v1
P005061,train,prompt_disjoint_v1
P000056,train,prompt_disjoint_v1
P002496,train,prompt_disjoint_v1
P002447,train,prompt_disjoint_v1
P002354,train,prompt_disjoint_v1
P001335,train,prompt_disjoint_v1
P006588,train,prompt_disjoint_v1
P003286,train,prompt_disjoint_v1
P003154,train,prompt_disjoint_v1
P002889,train,prompt_disjoint_v1
P005345,train,prompt_disjoint_v1
P005785,train,prompt_disjoint_v1
P005296,train,prompt_disjoint_v1
P005980,train,prompt_disjoint_v1
P005436,train,prompt_disjoint_v1
P005289,train,prompt_disjoint_v1
P000595,train,prompt_disjoint_v1
P003116,train,prompt_disjoint_v1
P003480,train,prompt_disjoint_v1
P006911,train,prompt_disjoint_v1
P002985,train,prompt_disjoint_v1
P004188,train,prompt_disjoint_v1
P000057,train,prompt_disjoint_v1
P007184,train,prompt_disjoint_v1
P005301,train,prompt_disjoint_v1
P002582,train,prompt_disjoint_v1
P000685,train,prompt_disjoint_v1
P000601,train,prompt_disjoint_v1
P001691,train,prompt_disjoint_v1
P000758,train,prompt_disjoint_v1
P003574,train,prompt_disjoint_v1
P006720,train,prompt_disjoint_v1
P002886,train,prompt_disjoint_v1
P003641,train,prompt_disjoint_v1
P001783,train,prompt_disjoint_v1
P002407,train,prompt_disjoint_v1
P004348,train,prompt_disjoint_v1
P004064,train,prompt_disjoint_v1
P000952,train,prompt_disjoint_v1
P003537,train,prompt_disjoint_v1
P006539,train,prompt_disjoint_v1
P004919,train,prompt_disjoint_v1
P005224,train,prompt_disjoint_v1
P000552,train,prompt_disjoint_v1
P006408,train,prompt_disjoint_v1
P005994,train,prompt_disjoint_v1
P004547,train,prompt_disjoint_v1
P005609,train,prompt_disjoint_v1
P001975,train,prompt_disjoint_v1
P001570,train,prompt_disjoint_v1
P004378,train,prompt_disjoint_v1
P007022,train,prompt_disjoint_v1
P001611,train,prompt_disjoint_v1
P002157,train,prompt_disjoint_v1
P005366,train,prompt_disjoint_v1
P005402,train,prompt_disjoint_v1
P004727,train,prompt_disjoint_v1
P001092,train,prompt_disjoint_v1
P002418,train,prompt_disjoint_v1
P002544,train,prompt_disjoint_v1
P005352,train,prompt_disjoint_v1
P003415,train,prompt_disjoint_v1
P004706,train,prompt_disjoint_v1
P006979,train,prompt_disjoint_v1
P000431,train,prompt_disjoint_v1
P005498,train,prompt_disjoint_v1
P007100,train,prompt_disjoint_v1
P006417,train,prompt_disjoint_v1
P004811,train,prompt_disjoint_v1
P005484,train,prompt_disjoint_v1
P004379,train,prompt_disjoint_v1
P005724,train,prompt_disjoint_v1
P001217,train,prompt_disjoint_v1
P003162,train,prompt_disjoint_v1
P003033,train,prompt_disjoint_v1
P000225,train,prompt_disjoint_v1
P005382,train,prompt_disjoint_v1
P003394,train,prompt_disjoint_v1
P000622,train,prompt_disjoint_v1
P003773,train,prompt_disjoint_v1
P005738,train,prompt_disjoint_v1
P001909,train,prompt_disjoint_v1
P005006,train,prompt_disjoint_v1
P000884,train,prompt_disjoint_v1
P000244,train,prompt_disjoint_v1
P002165,train,prompt_disjoint_v1
P001853,train,prompt_disjoint_v1
P006155,train,prompt_disjoint_v1
P004632,train,prompt_disjoint_v1
P005723,train,prompt_disjoint_v1
P000180,train,prompt_disjoint_v1
P000691,train,prompt_disjoint_v1
P003863,train,prompt_disjoint_v1
P002878,train,prompt_disjoint_v1
P001173,train,prompt_disjoint_v1
P000039,train,prompt_disjoint_v1
P006360,train,prompt_disjoint_v1
P001298,train,prompt_disjoint_v1
P003793,train,prompt_disjoint_v1
P006347,train,prompt_disjoint_v1
P004143,train,prompt_disjoint_v1
P005343,train,prompt_disjoint_v1
P004025,train,prompt_disjoint_v1
P002828,train,prompt_disjoint_v1
P003687,train,prompt_disjoint_v1
P000565,train,prompt_disjoint_v1
P000942,train,prompt_disjoint_v1
P004658,train,prompt_disjoint_v1
P006856,train,prompt_disjoint_v1
P001072,train,prompt_disjoint_v1
P000516,train,prompt_disjoint_v1
P002024,train,prompt_disjoint_v1
P006246,train,prompt_disjoint_v1
P001608,train,prompt_disjoint_v1
P002696,train,prompt_disjoint_v1
P004084,train,prompt_disjoint_v1
P005778,train,prompt_disjoint_v1
P003545,train,prompt_disjoint_v1
P004250,train,prompt_disjoint_v1
P002290,train,prompt_disjoint_v1
P005808,train,prompt_disjoint_v1
P003201,train,prompt_disjoint_v1
P001960,train,prompt_disjoint_v1
P001859,train,prompt_disjoint_v1
P001288,train,prompt_disjoint_v1
P003698,train,prompt_disjoint_v1
P003310,train,prompt_disjoint_v1
P000964,train,prompt_disjoint_v1
P002201,train,prompt_disjoint_v1
P000970,train,prompt_disjoint_v1
P004996,train,prompt_disjoint_v1
P002692,train,prompt_disjoint_v1
P005501,train,prompt_disjoint_v1
P002775,train,prompt_disjoint_v1
P005982,train,prompt_disjoint_v1
P004965,train,prompt_disjoint_v1
P002718,train,prompt_disjoint_v1
P002704,train,prompt_disjoint_v1
P002057,train,prompt_disjoint_v1
P004560,train,prompt_disjoint_v1
P003309,train,prompt_disjoint_v1
P002398,train,prompt_disjoint_v1
P003266,train,prompt_disjoint_v1
P002802,train,prompt_disjoint_v1
P000742,train,prompt_disjoint_v1
P004582,train,prompt_disjoint_v1
P000284,train,prompt_disjoint_v1
P000337,train,prompt_disjoint_v1
P000043,train,prompt_disjoint_v1
P006883,train,prompt_disjoint_v1
P006747,train,prompt_disjoint_v1
P001168,train,prompt_disjoint_v1
P006537,train,prompt_disjoint_v1
P001370,train,prompt_disjoint_v1
P006429,train,prompt_disjoint_v1
P002858,train,prompt_disjoint_v1
P007098,train,prompt_disjoint_v1
P000472,train,prompt_disjoint_v1
P000287,train,prompt_disjoint_v1
P002925,train,prompt_disjoint_v1
P006150,train,prompt_disjoint_v1
P002380,train,prompt_disjoint_v1
P005319,train,prompt_disjoint_v1
P006698,train,prompt_disjoint_v1
P006028,train,prompt_disjoint_v1
P006221,train,prompt_disjoint_v1
P005108,train,prompt_disjoint_v1
P000522,train,prompt_disjoint_v1
P002188,train,prompt_disjoint_v1
P002073,train,prompt_disjoint_v1
P006257,train,prompt_disjoint_v1
P003289,train,prompt_disjoint_v1
P002152,train,prompt_disjoint_v1
P007018,train,prompt_disjoint_v1
P005334,train,prompt_disjoint_v1
P002897,train,prompt_disjoint_v1
P003080,train,prompt_disjoint_v1
P002528,train,prompt_disjoint_v1
P005040,train,prompt_disjoint_v1
P001181,train,prompt_disjoint_v1
P004552,train,prompt_disjoint_v1
P001495,train,prompt_disjoint_v1
P001046,train,prompt_disjoint_v1
P005710,train,prompt_disjoint_v1
P003749,train,prompt_disjoint_v1
P005565,train,prompt_disjoint_v1
P000785,train,prompt_disjoint_v1
P004515,train,prompt_disjoint_v1
P004139,train,prompt_disjoint_v1
P002285,train,prompt_disjoint_v1
P002737,train,prompt_disjoint_v1
P001763,train,prompt_disjoint_v1
P005580,train,prompt_disjoint_v1
P002963,train,prompt_disjoint_v1
P001621,train,prompt_disjoint_v1
P001896,train,prompt_disjoint_v1
P002659,train,prompt_disjoint_v1
P003536,train,prompt_disjoint_v1
P003283,train,prompt_disjoint_v1
P005068,train,prompt_disjoint_v1
P006919,train,prompt_disjoint_v1
P004209,train,prompt_disjoint_v1
P001848,train,prompt_disjoint_v1
P006467,train,prompt_disjoint_v1
P002303,train,prompt_disjoint_v1
P005210,train,prompt_disjoint_v1
P006986,train,prompt_disjoint_v1
P003546,train,prompt_disjoint_v1
P002175,train,prompt_disjoint_v1
P006703,train,prompt_disjoint_v1
P007083,train,prompt_disjoint_v1
P001314,train,prompt_disjoint_v1
P006280,train,prompt_disjoint_v1
P000836,train,prompt_disjoint_v1
P005967,train,prompt_disjoint_v1
P004504,train,prompt_disjoint_v1
P000353,train,prompt_disjoint_v1
P006267,train,prompt_disjoint_v1
P003852,train,prompt_disjoint_v1
P000378,train,prompt_disjoint_v1
P000569,train,prompt_disjoint_v1
P000364,train,prompt_disjoint_v1
P003091,train,prompt_disjoint_v1
P006512,train,prompt_disjoint_v1
P002845,train,prompt_disjoint_v1
P000514,train,prompt_disjoint_v1
P000331,train,prompt_disjoint_v1
P006297,train,prompt_disjoint_v1
P004299,train,prompt_disjoint_v1
P006445,train,prompt_disjoint_v1
P006923,train,prompt_disjoint_v1
P000045,train,prompt_disjoint_v1
P002230,train,prompt_disjoint_v1
P003667,train,prompt_disjoint_v1
P004656,train,prompt_disjoint_v1
P006095,train,prompt_disjoint_v1
P002131,train,prompt_disjoint_v1
P006362,train,prompt_disjoint_v1
P005125,train,prompt_disjoint_v1
P002486,train,prompt_disjoint_v1
P001418,train,prompt_disjoint_v1
P002929,train,prompt_disjoint_v1
P001548,train,prompt_disjoint_v1
P002505,train,prompt_disjoint_v1
P004154,train,prompt_disjoint_v1
P002580,train,prompt_disjoint_v1
P005919,train,prompt_disjoint_v1
P005546,train,prompt_disjoint_v1
P005295,train,prompt_disjoint_v1
P002164,train,prompt_disjoint_v1
P005184,train,prompt_disjoint_v1
P004832,train,prompt_disjoint_v1
P006998,train,prompt_disjoint_v1
P000801,train,prompt_disjoint_v1
P000466,train,prompt_disjoint_v1
P004834,train,prompt_disjoint_v1
P006136,train,prompt_disjoint_v1
P007046,train,prompt_disjoint_v1
P006825,train,prompt_disjoint_v1
P001122,train,prompt_disjoint_v1
P002312,train,prompt_disjoint_v1
P005664,train,prompt_disjoint_v1
P004649,train,prompt_disjoint_v1
P000860,train,prompt_disjoint_v1
P004688,train,prompt_disjoint_v1
P004733,train,prompt_disjoint_v1
P002864,train,prompt_disjoint_v1
P002937,train,prompt_disjoint_v1
P001943,train,prompt_disjoint_v1
P000037,train,prompt_disjoint_v1
P002364,train,prompt_disjoint_v1
P005777,train,prompt_disjoint_v1
P004777,train,prompt_disjoint_v1
P002822,train,prompt_disjoint_v1
P002656,train,prompt_disjoint_v1
P004930,train,prompt_disjoint_v1
P001776,train,prompt_disjoint_v1
P001422,train,prompt_disjoint_v1
P004038,train,prompt_disjoint_v1
P005752,train,prompt_disjoint_v1
P005002,train,prompt_disjoint_v1
P000406,train,prompt_disjoint_v1
P001068,train,prompt_disjoint_v1
P000553,train,prompt_disjoint_v1
P004238,train,prompt_disjoint_v1
P000626,train,prompt_disjoint_v1
P006499,train,prompt_disjoint_v1
P006887,train,prompt_disjoint_v1
P005506,train,prompt_disjoint_v1
P003268,train,prompt_disjoint_v1
P005094,train,prompt_disjoint_v1
P001716,train,prompt_disjoint_v1
P000835,train,prompt_disjoint_v1
P004816,train,prompt_disjoint_v1
P000744,train,prompt_disjoint_v1
P006991,train,prompt_disjoint_v1
P001675,train,prompt_disjoint_v1
P006591,train,prompt_disjoint_v1
P003915,train,prompt_disjoint_v1
P002444,train,prompt_disjoint_v1
P004279,train,prompt_disjoint_v1
P000195,train,prompt_disjoint_v1
P002574,train,prompt_disjoint_v1
P001790,train,prompt_disjoint_v1
P003095,train,prompt_disjoint_v1
P005214,train,prompt_disjoint_v1
P004426,train,prompt_disjoint_v1
P005583,train,prompt_disjoint_v1
P004931,train,prompt_disjoint_v1
P006218,train,prompt_disjoint_v1
P006642,train,prompt_disjoint_v1
P006813,train,prompt_disjoint_v1
P002106,train,prompt_disjoint_v1
P003165,train,prompt_disjoint_v1
P002827,train,prompt_disjoint_v1
P000766,train,prompt_disjoint_v1
P001109,train,prompt_disjoint_v1
P005721,train,prompt_disjoint_v1
P001357,train,prompt_disjoint_v1
P001390,train,prompt_disjoint_v1
P004303,train,prompt_disjoint_v1
P006160,train,prompt_disjoint_v1
P002086,train,prompt_disjoint_v1
P003146,train,prompt_disjoint_v1
P002744,train,prompt_disjoint_v1
P003056,train,prompt_disjoint_v1
P001642,train,prompt_disjoint_v1
P004564,train,prompt_disjoint_v1
P004408,train,prompt_disjoint_v1
P004383,train,prompt_disjoint_v1
P002540,train,prompt_disjoint_v1
P006321,train,prompt_disjoint_v1
P002776,train,prompt_disjoint_v1
P004922,train,prompt_disjoint_v1
P005625,train,prompt_disjoint_v1
P001712,train,prompt_disjoint_v1
P003237,train,prompt_disjoint_v1
P001494,train,prompt_disjoint_v1
P001125,train,prompt_disjoint_v1
P003078,train,prompt_disjoint_v1
P003497,train,prompt_disjoint_v1
P004229,train,prompt_disjoint_v1
P004734,train,prompt_disjoint_v1
P003264,train,prompt_disjoint_v1
P002058,train,prompt_disjoint_v1
P001766,train,prompt_disjoint_v1
P002169,train,prompt_disjoint_v1
P000073,train,prompt_disjoint_v1
P006078,train,prompt_disjoint_v1
P000660,train,prompt_disjoint_v1
P004104,train,prompt_disjoint_v1
P002437,train,prompt_disjoint_v1
P002726,train,prompt_disjoint_v1
P001039,train,prompt_disjoint_v1
P000167,train,prompt_disjoint_v1
P004072,train,prompt_disjoint_v1
P004546,train,prompt_disjoint_v1
P004574,train,prompt_disjoint_v1
P004562,train,prompt_disjoint_v1
P004915,train,prompt_disjoint_v1
P004821,train,prompt_disjoint_v1
P002281,train,prompt_disjoint_v1
P001788,train,prompt_disjoint_v1
P007173,train,prompt_disjoint_v1
P001646,train,prompt_disjoint_v1
P006805,train,prompt_disjoint_v1
P002214,train,prompt_disjoint_v1
P004620,train,prompt_disjoint_v1
P004034,train,prompt_disjoint_v1
P002735,train,prompt_disjoint_v1
P002405,train,prompt_disjoint_v1
P001545,train,prompt_disjoint_v1
P003637,train,prompt_disjoint_v1
P002012,train,prompt_disjoint_v1
P001994,train,prompt_disjoint_v1
P000012,train,prompt_disjoint_v1
P000318,train,prompt_disjoint_v1
P003398,train,prompt_disjoint_v1
P002231,train,prompt_disjoint_v1
P002499,train,prompt_disjoint_v1
P005554,train,prompt_disjoint_v1
P002543,train,prompt_disjoint_v1
P002560,train,prompt_disjoint_v1
P000651,train,prompt_disjoint_v1
P005753,train,prompt_disjoint_v1
P007048,train,prompt_disjoint_v1
P000681,train,prompt_disjoint_v1
P001523,train,prompt_disjoint_v1
P002142,train,prompt_disjoint_v1
P000175,train,prompt_disjoint_v1
P005110,train,prompt_disjoint_v1
P005795,train,prompt_disjoint_v1
P006227,train,prompt_disjoint_v1
P001563,train,prompt_disjoint_v1
P000741,train,prompt_disjoint_v1
P007077,train,prompt_disjoint_v1
P003379,train,prompt_disjoint_v1
